"hour","GlobalActivePower","GlobalReactivePower","SubMeter1","SubMeter2","SubMeter3","Voltage","temp","feelslike","dew","humidity","precip","precipprob","snow","snowdepth","windspeed","sealevelpressure","cloudcover","visibility"
2006-12-16 17:00:00,152.024,8.244,0,19,607,234.643888888889,5.6,2.1,4,89.15,0,0,0,0,17.8,1021.2,90,7.8
2006-12-16 18:00:00,217.932,4.802,0,403,1012,234.580166666667,6.2,3.6,4.6,89.75,0,0,0,0,12.7,1021.5,98.3,8.1
2006-12-16 19:00:00,204.014,5.114,0,86,1001,233.2325,7.5,5.1,5.7,88.44,0.007,100,0,0,12.9,1021.9,99,7.7
2006-12-16 20:00:00,196.114,4.506,0,0,1007,234.0715,7.8,5.5,6.3,90.02,0.3,100,0,0,12.9,1021.2,99.7,7.4
2006-12-16 21:00:00,183.388,4.6,0,25,1033,237.158666666667,8.1,5.9,6.8,92.02,0,0,0,0,12.5,1021,99.7,5.6
2006-12-16 22:00:00,132.008,3.37,0,8,266,238.76,8.4,6,7.3,92.6,0.595,100,0,0,15.2,1021,100,5.9
2006-12-16 23:00:00,123.696,4.286,0,5,0,240.619666666667,8,5.7,6.4,89.84,0.598,100,0,0,13,1022,99.2,8.1
2006-12-17,112.948,6.146,0,28,0,240.961833333333,7.5,4.6,5.5,87.05,0,0,0,0,16.9,1023,99.2,8.4
2006-12-17 01:00:00,200.964,8.216,0,1514,0,240.448333333333,7,4.6,5.2,88.25,0.591,100,0,0,12.6,1024,99.2,8.7
2006-12-17 02:00:00,95.236,4.694,0,34,0,245.818666666667,6.9,3.4,4.9,87.3,0.02,100,0,0,20.6,1025.1,90,17.6
2006-12-17 03:00:00,99.732,4.772,0,46,0,244.5135,6.6,3.9,4.2,84.65,0.206,100,0,0,14.2,1026.1,93.8,18.1
2006-12-17 04:00:00,132.946,5.608,0,34,533,243.8555,5.9,3.2,3.6,84.88,0,0,0,0,13,1026.6,40.4,17.9
2006-12-17 05:00:00,119.804,3.614,0,10,279,243.710166666667,5.4,3.9,3.7,88.47,0,0,0,0,7.3,1027.1,15.7,14.8
2006-12-17 06:00:00,78.198,5.69,0,43,0,244.1415,4.9,3.2,3.4,89.64,0,0,0,0,7.4,1027.7,15.7,11
2006-12-17 07:00:00,97.202,3.588,0,10,0,241.845666666667,4.4,2.5,3.2,92.3,0,0,0,0,7.7,1028.1,0,5.2
2006-12-17 08:00:00,113.434,7.114,0,45,0,241.3115,3.6,3.6,2.5,92.59,0,0,0,0,4.1,1028.6,0,2.5
2006-12-17 09:00:00,152.944,4.754,0,439,0,238.847833333333,2.7,2.7,1.7,93.64,0,0,0,0,3.6,1028.6,14.5,0.5
2006-12-17 10:00:00,217.734,11.676,533,1341,969,235.441,1.9,1.9,1,93.73,0,0,0,0,3.9,1028.7,5.7,0.5
2006-12-17 11:00:00,148.26,12.042,567,301,1031,236.924666666667,1.3,1.3,0.4,93.65,0,0,0,0,4.3,1029,17.9,2.9
2006-12-17 12:00:00,114.952,17.642,0,32,1039,237.784666666667,1.1,1.1,0.4,95.26,0,0,0,0,3.8,1028.7,17.7,4.7
2006-12-17 13:00:00,99.646,10.292,0,3,1057,239.920666666667,0.9,0.9,0.3,95.83,0.006,100,0,0,4.4,1028.7,60.2,2.8
2006-12-17 14:00:00,125.558,15.444,0,20,1094,244.045666666667,1.4,1.4,0.8,96.32,0,0,0,0,4.1,1028.6,83.5,4.6
2006-12-17 15:00:00,179.124,5.316,418,12,1062,240.480833333333,1.4,1.4,0.8,95.97,0,0,0,0,4,1028.6,85,5
2006-12-17 16:00:00,199.562,5.588,515,4,1030,236.781833333333,1.4,-0.9,0.6,94.71,0,0,0,0,7.1,1028.6,55.6,7.1
2006-12-17 17:00:00,204.406,9.998,0,28,1009,234.229833333333,1.3,1.3,0.7,95.89,0,0,0,0,4.2,1029.1,89.2,8
2006-12-17 18:00:00,221.826,8.104,0,0,1010,234.372333333333,2.4,2.4,1.7,95.32,0,0,0,0,4.1,1029.1,90,11
2006-12-17 19:00:00,174.504,15.91,0,31,1001,233.195666666667,4.1,2.5,2.9,91.75,0,0,0,0,6.7,1029.6,89,11.7
2006-12-17 20:00:00,201.69,16.29,0,67,1027,236.4265,5.6,5.6,3.7,87.46,0,0,0,0,4.8,1029.1,89.7,11.9
2006-12-17 21:00:00,182.446,16.078,0,72,1050,239.104166666667,6.5,4.9,3.6,81.94,0,0,0,0,7.9,1028.6,90,12.3
